"delivery_date","caixas_corretas","caixas_erradas"
2026-03-09,7751,18
2026-03-12,10921,96
2026-03-13,11071,17
2026-03-17,7047,13
2026-03-18,5239,2
2026-03-19,8896,46
2026-03-20,18894,69
2026-03-23,23163,33
2026-03-24,14226,13
2026-03-25,18406,21
2026-03-26,19032,10
2026-03-27,18652,42
2026-03-28,14483,64
2026-03-30,15524,8
2026-03-31,12755,1
2026-04-01,16840,10
2026-04-02,12982,119
2026-04-06,13095,7
2026-04-07,16100,7
2026-04-08,14791,44
2026-04-09,18312,23
2026-04-10,18684,11
2026-04-13,16637,2
2026-04-14,16568,44
2026-04-15,17916,42
2026-04-16,15362,127
2026-04-17,19281,57
2026-04-18,11909,9
2026-04-20,6147,10
2026-04-22,18105,18
2026-04-23,17974,36
2026-04-24,15852,13
2026-04-27,18856,32
2026-04-29,25063,54
2026-04-30,7636,10
2026-05-04,17529,82
2026-05-05,15692,18
2026-05-06,16718,34
2026-05-07,18223,10
2026-05-08,17149,53
2026-05-11,16967,78
2026-05-12,9019,17
2026-05-13,14335,17
2026-05-14,11605,7
2026-05-15,13866,11
2026-05-18,15681,36
2026-05-19,14744,62
2026-05-20,17194,33
2026-05-21,18178,35
2026-05-22,11923,52
2026-05-25,9972,8
2026-05-26,19765,29
2026-05-28,21938,25
2026-05-29,21020,53
2026-06-02,8151,33
2026-06-03,11591,6
2026-06-05,9374,112
2026-06-08,9756,46
2026-06-09,10597,70
2026-06-10,17849,78
2026-06-11,12232,65
2026-06-12,17649,72
2026-06-15,13533,14
2026-03-04,2020,0
2026-03-16,7292,0
2026-03-06,2669,0
2026-03-05,2391,0
2026-03-10,3558,0
2026-03-11,6534,0
